Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
1414.2,3419.8,1100.5255,28.5096,2.1146,1386.8885,1.9586,41.6879,1415.8854,4.2803,57.4331,261.7739,330.0956,143.8758,5972.4268,126.0955,3168.1147
1376.5,3420.6,1041.5831,43.6435,2.4743,724.4985,3.0665,93.2054,1131.5649,3.3505,46.2719,137.9154,430.7372,13.148,8929.6016,96.8218,2673.2991
1421.4,3424.1,1161.0083,24.741,1.9669,385.0826,4.1736,71.1736,1283.5895,0.3939,32.4105,30.1212,307.1515,19.4077,6218.8345,102.3802,2348.3306
1363.8,3424.5,1200.4463,21.9456,2.0964,1334.9783,6.5054,57.4121,1149.1633,0.9222,40.3515,333.86,281.7512,92.6392,5796.1138,108.6267,2725.9829
1324.5,3425.8,1013.5972,25.6971,0.9886,699.4971,3.2086,93.6514,1519.3857,3.8686,55.9571,60.1714,437.2886,16.2657,6867.3599,114.9429,3571.8228
1409.5,3428.8,908.6954,19.0943,1.9084,458.3639,0.8679,94.2345,1473.8302,2.7655,60.8949,42.8086,349.3531,6.9515,6392.3989,103.8086,3200.5903
1427.6,3429.2,1185.7241,46.0805,2.2586,436.8563,1.0747,63.7529,1323.7069,3.0345,45.7874,38.3276,443.7242,10.3563,9033.4717,106.8276,2354.5747
1372.6,3431.9,1155.3987,32.0891,2.4744,1181.9198,11.5234,90.7973,1206.5234,4.7416,46.0423,267.2272,332.9287,53.3118,6913.0869,127.4944,2590.6526
1417,3432.4,1080.8483,30.8482,1.6965,502.1907,3.1401,176.2646,1297.1051,1.8482,55.4903,55.9416,331.6809,14.1712,6193.3657,122.5914,3151.4241
1395.6,3432.5,1048.4095,32.3456,2.1341,665.6913,10.1206,71.3825,1624.5931,2.2754,43.5689,157.5401,367.1917,28.2511,7082.6519,111.018,2593.054
1330.5,3432.7,943.4272,16.6424,2.4557,541.7374,10.7816,43.9968,2864.5728,2.3608,56.0823,30.9494,380.3702,22.1614,6286.75,103.3861,2572.6172
1350.1,3433.9,1164.9165,30.5398,1.6941,846.7031,5.6028,106.892,1323.6208,2.4524,40.4293,131.3458,334.9704,27.3985,5945.3228,123.2314,2202.5515
1524.1,3433.4,632.1865,83.9603,0.6459,621.1434,55.19,85.0587,669.7858,26.9672,32.6943,97.0829,267.2953,547.8031,2995.9016,74.4024,2575.7305
1425.5,3436.4,1127.4338,17.6225,1.9099,462.4084,2.2085,81.5887,1223.9916,1.0507,48.1324,50.2704,356.9099,87.0113,8484.541,123.3831,2997.8535
1360,3436.1,1305.6918,30.5414,1.7592,769.9432,7.9647,67.1549,1241.069,1.3236,32.4402,159.385,313.3052,122.7745,6780.0122,113.4172,2246.1318
1556.9,3436.4,645.8219,89.6438,1.1953,306.3922,51.0297,23.3734,719.0062,23.6391,19.2891,44.8094,145.425,84.7547,3067.2109,38.0203,1380.9078
1378.2,3439.7,853.3086,35.7841,2.9612,684.4233,7.543,92.5632,1535.3541,5.5599,63.5666,53.113,427.6762,66.7049,7453.5396,108.3423,3036.312
1324.1,3440.9,1012.383,35.7396,1.9396,631.0226,12.2887,75.7547,1077.2057,3.9151,46.7057,98.2113,404.5113,184.0623,8015.332,108.0962,2857.7322
1415.4,3442.2,968.7354,26.3385,2.0292,447.7631,5,114.1292,1135.4308,2.1185,42.5938,49.5231,360.0154,283.8554,6777.2324,108.8508,2789.1938
1494.2,3441.9,796.1121,48.3869,0.537,318.5539,18.9091,98.7252,952.8182,10.0085,30.2685,30.7484,250.0169,358.389,4088.4207,75.4968,2261.9832
1515.8,3441.9,523.2717,104.5588,0.5973,183.1464,70.1175,30.1985,483.0038,39.2023,31.6821,31.9846,136.2312,8.3025,2155.9941,47.2216,1890.1753
1539.4,3443.8,405.5164,79.5432,1.0908,314.244,44.6696,13.4717,650.1994,23.0387,22.5149,24.506,158.4018,9.7173,2222.9673,30.4747,1592.7426
1435.3,3446.2,1035.037,31.3704,3.2716,549.0082,6.535,67.2346,1275.3334,4.8848,37.1852,105.4115,355.107,47.9383,6675.1235,113.7572,1678.8766
1569.6,3447.7,525.7863,53.3024,0.9919,589.8427,36.4153,24.75,816.1935,20.9718,21.2581,264.9839,120.0524,55.4597,1700.7661,38.7823,1331.9072
1558.2,3449.6,659.7632,90.6893,0.7166,671.4413,48.0294,34.6933,1189.7793,23.2267,34.5223,145.1326,255.9109,17.7156,4817.9746,68.0051,2409.8999
1364.1,3449.5,950.4913,27.0162,1.8815,967.0175,7.7706,111.3803,1177.5624,3.8242,48.4776,221.1135,308.8055,275.2843,4596.834,131.3628,3032.6011
1395.8,3449.6,1090.4214,31.1813,3.0196,936.1351,4.3191,72.0533,2352.9297,2.8169,40.0498,209.3165,294.9742,228.3298,5121.6284,106.7849,2575.7627
1476.7,3450.3,918.7378,51.5681,0.7496,414.2252,21.1563,50.8252,1182.6908,5.5983,30.9059,36.121,234.721,12.1748,4948.0571,75.037,2541.8958
1440.8,3451.9,1191.2886,12.0691,2.9634,681.8455,2.6301,98.6626,1301.2723,2.1951,44.7195,174.3293,344.3374,99.2033,5098.9023,95.5691,2729.0042
1335.5,3450.8,1036.7134,38.0558,1.9007,485.1675,5.567,157.9975,1215.6663,2.8623,34.7519,50.6266,242.7382,44.3275,5438.0396,102.9194,2388.7344
1428.2,3453.8,917.4688,41.9028,1.9149,392.401,3.4844,104.8767,1154.6233,6.1875,57.2604,42.7778,411.1962,146.2153,6741.5747,90.7674,3100.3142
1326.8,3458,1254.5115,52.8366,2.3023,753.0158,13.5483,99.7118,1137.1072,9.7592,44.812,223.877,334.1652,66.1125,8060.6997,113.5026,2461.71
1465,3457.9,723.1989,32.0424,0.6419,442.1618,14.0371,111.7109,1104.0398,7.809,43.5889,44.9788,348.061,69.5809,6760.2759,62.0292,2063.3423
1587.7,3456.8,1002.2421,69.2175,0.6596,618.9474,34.6,27.3649,1488.2667,12.5404,34.5193,76.5404,305.4281,137.3158,5091.3369,83.9228,3876.4946
1378.7,3458.1,961.5449,51.0899,3.5206,626.2135,8.2041,61.3015,914.8652,4.6873,31.0431,115.7959,240.0037,19.3727,7187.062,77.1648,1733.3989
1580.1,3457.5,779.0692,120.6945,0.9809,1508.7518,56.6659,28.3699,1232.7733,33.1432,24.5036,434.5131,211.3819,51.8282,3746.229,64.852,2281.4988
1527,3456.6,502.1712,82.7325,0.6922,222.8181,42.5202,13.5588,701.6238,19.6807,23.4889,24.4601,177.5144,173.0823,2574.1621,34.242,1745.1342
1439.5,3460,1054.3254,31.783,1.9901,530.9231,5.217,122.8797,2003.4556,3.142,44.6785,39.3353,349.8304,104.4122,6503.8027,97.144,2716.3708
1453.1,3461.5,916.4225,23.4045,1.6494,411.4674,0.3685,108.4292,1378.5304,1.2989,35.6921,34.0382,373.6944,322.4697,5656.5908,92.6944,2680.8718
1404.2,3462.1,1142.0566,51.7864,1.8087,1000.2284,6.5227,105.3788,1262.4828,5.8737,44.9601,224.5228,397.0019,428.6397,8225.0215,129.0149,2508.571
1594.1,3464.7,939.4527,60.1358,1.2922,1091.6666,96.0329,24.0206,4608.251,15.4815,43.0288,136.2757,159.0082,116.3704,2900.8972,63.3333,3119.0452
1357.2,3464.6,1011.8979,37.3245,3.3367,710.2245,4.7306,55.7367,1133.2959,2.0612,36.7449,163.1673,269.1367,53.2041,5186.71,88.7612,2084.3755
1537.7,3465.8,673.678,64.1348,0.5005,354.8972,33.9011,28.7818,1466.7992,12.969,39.4433,36.0262,204.5742,151.3618,2969.0776,68.516,3024.3367
1430.3,3465,913.6706,27.4588,1.6863,382.1412,1.2588,79.4039,1222.3215,3.098,25.3059,17.251,290.3765,343.3372,4950.9019,77.6157,2114.2236
1367.1,3467,1094.8336,53.9331,4.8184,879.5947,7.0096,75.2696,1144.2467,4.0822,45.6998,168.3212,264.9904,21.87,5005.1606,100.7055,2386.2734
1546.8,3468.6,544.8859,79.7192,1.0072,628.8823,49.2754,22.9801,3699.23,28.8116,25.4982,40.904,275.6449,350.4185,3035.1233,117.4928,2386.7139
1328.9,3468.5,869.6221,38.7008,2.3071,329.7795,3.5906,88.8504,960.6378,4.4252,13,32.9921,154.8819,90.0945,3488.5591,81.1417,1432.2205
1516.1,3468.8,428.3445,107.7378,0.7467,152.9067,69.7933,11.3822,565.1111,33.2356,10.3778,26.6778,111.6533,12.5044,1837.2111,33.8644,761.2244
1582.3,3469.7,1047.6967,83.0502,0.8337,1237.0419,40.6318,24.3964,3670.1528,12.3923,31.4728,307.1339,225.2406,137.6872,4057.8264,61.6496,2206.1548
1387.5,3468.9,891.6558,52.8326,3.0488,815.9581,1.9837,45.8791,1049.3605,9.9093,46.4093,160.4791,359.6046,28.1581,7697.4932,99.6395,2399.0627
1568.9,3472.1,765.3746,95.0014,0.7102,608.0148,52.9178,20.7857,1083.7102,22.5849,25.1078,93.3706,185.1644,96.0377,3098.0674,51.0741,2034.9434
1457.4,3471.2,681.6087,30.6087,2.5652,249.6739,5.4783,53.9565,1613.7391,1.6957,9.6304,6.1522,121.587,61.6304,3436.6521,36.8043,1228.7609
1408.3,3470.9,996.7,12.5625,3.425,718.5312,2.2,93.675,1119.6,0.875,55.6813,120.5375,315.4,37.6125,7776.0376,115.8875,2540.5
1373.9,3472.7,845.5352,80.3291,2.8568,500.5276,1.5151,44.1156,943.3769,16.799,49.7714,111.495,179.1583,48.0779,5335.1255,88.4347,2718.397
1339.8,3472.3,1033.2413,49.609,2.1419,502.6142,2.969,86.8503,890.7484,3.5523,40.2142,55.6026,257.9626,768.8,5656.5884,77.8142,2314.3547
1438.3,3471.9,938.8351,33.0954,2.0564,517.3926,1.4534,57.551,3763.0803,3.8091,41.5813,32.9046,380.4447,264.9631,6190.0889,67.9913,2533.7656
1450.5,3471.1,813.7414,34.5086,2.4591,887.097,3.5711,53.8922,4372.6982,6.6293,70.3491,61.5259,372.959,7.2177,6458.6553,86.8125,3325.9741
1401,3473.4,981.8157,25.4955,3.1903,710.852,1.6858,74.4562,1417.855,2.1631,42.9033,97.2115,390.1329,27.145,8817.3477,96.7462,2319.7583
1481.1,3471.8,849.8798,64.625,1.25,1024.8547,28.2369,118.0619,1185.0464,23.531,44.1381,342.7369,283.8203,58.4857,3350.6846,69.931,2517.3618
1423.3,3475.4,1014.7738,27.3879,2.3943,525.1617,1.3605,63.2717,1152.6078,2.6025,48.7643,50.9281,315.9757,27.7505,6568.1562,79.0412,2532.9048
